IBAN
FI93 3182 3770 0072 82
FI57 4972 8953 0008 57
FI73 4085 7477 0005 61
FI82 6658 9640 0005 12
FI58 7995 6170 0004 09
FI37 3953 1830 0004 84
FI84 4354 9275 0000 37
FI23 3654 5380 0089 71
FI64 4026 2828 0003 21
FI10 4085 2044 0005 58
FI66 4215 3197 0003 64
FI42 2185 2890 0092 27
FI63 8609 5950 0021 69
FI77 3360 5370 0000 74
FI45 3176 8180 0027 63
FI39 2421 2260 0031 84
FI34 2185 8640 0067 02
FI62 3117 5890 0031 58
FI43 4146 2517 0003 06
FI08 4712 8085 0000 85
FI48 4325 8038 0004 88
FI24 4726 8596 0008 34
FI47 7138 3190 0024 89
FI32 4782 6382 0006 88
FI28 4107 1037 0000 58
FI20 2498 4810 0039 44
FI83 4028 3358 0002 18
FI40 3381 7210 0002 77
FI88 4033 2716 0009 21
FI98 7131 4780 0088 42
FI55 2311 6860 0068 88
FI12 4971 4819 0002 32
FI56 4232 9488 0009 62
FI30 8130 3180 0093 59
FI45 3484 2790 0065 19
FI94 4794 0930 0008 82
FI76 3738 4270 0005 03
FI64 4066 5712 0003 24
FI91 7996 0260 0031 66
FI38 4728 3081 0000 09
FI22 4054 8270 0005 99
FI50 3410 1020 0034 28
FI73 4126 4285 0006 37
FI62 4066 5865 0003 03
FI10 3186 4550 0073 08
FI37 6270 5930 0056 56
FI05 4051 5582 0000 05
FI58 3866 6170 0003 88
FI39 3962 5750 0067 84
FI83 4286 3843 0002 83
FI77 4287 2733 0000 48
FI62 6810 0850 0060 05
FI80 4714 4270 0009 13
FI75 4108 0265 0006 07
FI27 5300 2074 0001 44
FI15 3754 2580 0044 46
FI95 4748 3177 0000 67
FI50 1871 7130 0044 67
FI24 4978 3862 0000 01
FI39 4087 6391 0004 24
FI11 4001 3369 0000 18
FI76 1818 0720 0026 41
FI21 4084 7664 0000 86
FI15 3877 9380 0029 02
FI52 5205 1740 0007 57
FI71 4768 9676 0009 74
FI76 4143 2197 0001 57
FI34 4742 4823 0000 85
FI82 4291 5250 0005 76
FI09 4701 2249 0000 68
FI75 4726 8220 0008 53
FI16 4975 2874 0000 02
FI97 3977 7280 0002 64
FI87 4968 6283 0003 38
FI78 4967 7192 0007 41
FI85 4974 2554 0005 62
FI48 7157 6970 0065 68
FI75 8279 0070 0012 16
FI83 4057 7540 0006 34
FI57 3457 5680 0021 52
FI29 4733 4440 0002 87
FI86 4052 2246 0000 09
FI23 4737 6043 0008 59
FI69 3432 5370 0072 63
FI86 4797 7723 0002 16
FI73 3961 6820 0026 48
FI15 4294 7362 0000 95
FI07 4211 4789 0001 54
FI26 4105 6031 0003 78
FI65 3888 9520 0000 11
FI30 7151 5490 0009 74
FI88 3322 9060 0048 31
FI24 4086 8968 0007 13
FI46 4124 7758 0000 85
FI78 8525 5950 0056 27
FI88 7992 5330 0076 61
FI55 4141 1020 0000 14
FI23 3954 5910 0027 56
FI46 4053 2124 0007 73
FI89 4217 0457 0006 94
FI77 3447 4780 0039 81
FI91 4104 7821 0003 97
FI23 4776 2768 0006 55
FI42 4297 0690 0008 35
FI71 2416 9750 0027 71
FI17 4024 5938 0005 21
FI37 4744 9651 0001 39
FI36 4741 3588 0004 63
FI47 4078 3598 0000 84
FI28 3135 7150 0000 05
FI04 4726 3558 0000 62
FI79 4022 0453 0002 55
FI23 7158 1620 0055 31
FI30 3861 2840 0048 14
FI44 3422 8580 0080 57
FI02 4712 3930 0008 28
FI60 3926 7560 0054 72
FI54 4776 0797 0008 37
FI11 4701 6361 0005 58
FI06 4742 4583 0008 61
FI16 4954 4278 0008 56
FI67 7993 3970 0026 12
FI83 4128 9331 0009 84
FI97 4772 9791 0006 97
FI81 4715 0885 0004 79
FI51 1645 0870 0045 11
FI10 4978 3311 0002 89
FI50 4037 9835 0000 92
FI35 6612 2950 0001 36
FI22 4958 0971 0005 04
FI92 4083 9021 0003 39
FI48 4972 1186 0001 41
FI60 3630 0010 0082 92
FI58 7993 7190 0062 38
FI09 4712 1712 0005 45
FI49 4717 3750 0001 35
FI30 8303 3450 0010 61
FI17 7156 1240 0025 14
FI53 7154 1130 0053 22
FI15 3784 8530 0059 65
FI51 4053 4214 0008 04
FI88 4374 2251 0002 59
FI21 2779 5840 0031 84
FI87 4286 4757 0009 47
FI36 3458 9670 0028 09
FI61 4798 6323 0000 05
FI75 4352 4891 0000 34
FI26 4053 5711 0000 23
FI95 4708 8549 0008 34
FI15 4104 7085 0009 76
FI68 4766 7540 0004 04
FI56 4325 2784 0003 88
FI42 7134 8420 0035 73
FI21 4956 6694 0008 14
FI53 6524 6150 0069 64
FI50 4955 2030 0000 72
FI68 4707 2343 0005 39
FI72 4036 1675 0000 69
FI85 3789 0590 0080 59
FI38 2851 7740 0021 76
FI70 1568 3330 0086 46
FI22 4296 8596 0005 03
FI71 3953 6970 0007 72
FI61 4788 4547 0004 32
FI62 4736 6447 0006 47
FI62 3421 5370 0091 89
FI49 4237 1645 0006 59
FI89 4126 9168 0003 31
FI24 4084 8274 0000 52
FI83 4973 6754 0007 37
FI41 4758 2012 0004 79
FI06 4284 9779 0007 69
FI02 7135 6790 0039 25
FI57 3720 0980 0044 21
FI78 3949 8110 0069 22
FI09 7135 3680 0045 43
FI86 4702 1725 0005 59
FI57 4795 1721 0002 21
FI66 4231 1699 0003 53
FI37 4958 6180 0005 32
FI53 4035 6364 0006 36
FI32 7998 4710 0006 71
FI43 4125 1192 0007 35
FI63 4764 7089 0003 53
FI30 3440 2620 0009 25
FI46 4706 3844 0002 27
FI07 4067 7835 0006 28
FI97 3778 7530 0052 05
FI89 4236 6923 0003 63
FI11 4734 3879 0001 89
FI84 4771 2363 0002 61
FI52 3483 7950 0046 68
FI84 3649 1730 0001 62
FI07 4957 9268 0002 92
FI02 4037 0414 0005 04
FI24 4285 4610 0004 73
FI98 4101 5872 0000 79
FI47 3846 1120 0024 07
FI07 4746 6493 0000 02
FI33 3488 5440 0035 68
FI07 3710 0340 0056 31
FI24 4975 0347 0009 63
FI40 4782 7635 0009 54
FI08 4003 8899 0002 38
FI79 4972 4495 0005 47
FI73 8712 7750 0096 46
FI88 4103 4147 0000 79
FI22 4236 4684 0009 12
FI36 4758 2174 0003 66
FI93 4023 9578 0003 47
FI94 4967 2588 0005 04
FI32 3318 0170 0056 99
FI47 7153 7230 0022 84
FI68 4776 3733 0008 53
FI47 4721 9971 0003 03
FI02 4716 0027 0000 89
FI17 3765 5290 0040 33
FI27 4146 5268 0000 37
FI10 7136 8530 0016 63
FI70 4327 6860 0001 78
FI49 4715 3285 0000 81
FI29 4294 0857 0008 78
FI12 8436 9180 0002 08
FI47 4054 1942 0005 76
FI74 3756 1660 0030 03
FI65 3417 8020 0078 15
FI04 4121 5667 0006 03
FI56 4764 5392 0000 29
FI09 4053 2536 0007 91
FI57 4101 6550 0004 56
FI87 4712 0513 0001 83
FI18 4142 3573 0008 61
FI92 3459 6420 0005 53
FI18 4212 7711 0004 56
FI94 5765 9394 0009 34
FI72 4724 7673 0009 33
FI78 3968 6090 0043 68
FI92 4148 2113 0009 22
FI58 4707 0531 0009 49
FI04 4955 4244 0005 83
FI04 4146 1561 0004 36
FI25 4751 0147 0007 34
FI33 6327 4520 0000 71
FI49 4063 6122 0001 47
FI41 7132 2340 0050 83
FI72 4086 4661 0001 26
FI48 4734 1786 0009 38
FI63 4973 4943 0007 18
FI06 7135 7460 0069 09
FI39 4975 4018 0008 07
FI30 4028 4746 0009 44
FI75 3730 1090 0078 15
FI48 4127 3340 0005 57
FI35 4715 0774 0008 12
FI56 7153 3670 0004 66
FI44 4702 2415 0007 27
FI42 4297 6933 0003 75
FI82 4721 0580 0009 33
FI33 7154 2570 0033 71
FI39 4283 4760 0003 25
FI47 3716 6170 0049 29
FI93 3450 2110 0046 32
FI32 2157 4510 0038 99
FI29 7134 0210 0080 03
FI39 4211 7371 0003 83
FI25 4772 2690 0008 84
FI74 3150 2820 0045 78
FI17 3672 2230 0086 63
FI75 4972 3620 0000 91
FI23 3443 9920 0013 93
FI33 4752 1695 0004 55
FI74 4057 2962 0008 24
FI96 3813 1620 0017 67
FI66 4784 2692 0004 74
FI42 4761 2199 0008 91
FI79 4796 7641 0004 71
FI32 3438 8190 0000 74
FI43 4967 5995 0003 22
FI87 7138 2970 0001 43
FI20 4745 0040 0008 06
FI38 6132 1610 0003 21
FI37 4968 1771 0005 51
FI64 7993 0410 0007 19
FI12 3848 7450 0039 13
FI22 4971 8896 0002 62
FI87 4976 4478 0005 69
FI09 5322 6096 0003 09
FI65 7156 3050 0040 93
FI50 4105 0853 0008 48
FI85 4757 5636 0009 25
FI87 3832 6710 0083 89
